name,year,battle_number,attacker_1,attacker_2,attacker_3,attacker_4,defender_1,defender_2,defender_3,defender_4,attacker_outcome,battle_type,major_death,major_capture,attacker_size,defender_size,attacker_commander,defender_commander,summer,location,note,attacker_king_Balon/Euron Greyjoy,attacker_king_Joffrey/Tommen Baratheon,attacker_king_Robb Stark,attacker_king_Stannis Baratheon,defender_king_Balon/Euron Greyjoy,defender_king_Joffrey/Tommen Baratheon,defender_king_Mance Rayder,defender_king_Renly Baratheon,defender_king_Robb Stark,defender_king_Stannis Baratheon,region_Beyond the Wall,region_The Crownlands,region_The North,region_The Reach,region_The Riverlands,region_The Stormlands,region_The Westerlands
Battle of the Golden Tooth,298,1,Lannister,,,,Tully,,,,win,pitched battle,1.0,0.0,15000.0,4000.0,Jaime Lannister,"Clement Piper, Vance",1.0,Golden Tooth,,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Battle at the Mummer's Ford,298,2,Lannister,,,,Baratheon,,,,win,ambush,1.0,0.0,,120.0,Gregor Clegane,Beric Dondarrion,1.0,Mummer's Ford,,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Battle of Riverrun,298,3,Lannister,,,,Tully,,,,win,pitched battle,0.0,1.0,15000.0,10000.0,"Jaime Lannister, Andros Brax","Edmure Tully, Tytos Blackwood",1.0,Riverrun,,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Battle of the Green Fork,298,4,Stark,,,,Lannister,,,,loss,pitched battle,1.0,1.0,18000.0,20000.0,"Roose Bolton, Wylis Manderly, Medger Cerwyn, Harrion Karstark, Halys Hornwood","Tywin Lannister, Gregor Clegane, Kevan Lannister, Addam Marbrand",1.0,Green Fork,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
Battle of the Whispering Wood,298,5,Stark,Tully,,,Lannister,,,,win,ambush,1.0,1.0,1875.0,6000.0,"Robb Stark, Brynden Tully",Jaime Lannister,1.0,Whispering Wood,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
Battle of the Camps,298,6,Stark,Tully,,,Lannister,,,,win,ambush,0.0,0.0,6000.0,12625.0,"Robb Stark, Tytos Blackwood, Brynden Tully","Lord Andros Brax, Forley Prester",1.0,Riverrun,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
Sack of Darry,298,7,Lannister,,,,Darry,,,,win,pitched battle,0.0,0.0,,,Gregor Clegane,Lyman Darry,1.0,Darry,,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Battle of Moat Cailin,299,8,Greyjoy,,,,Stark,,,,win,pitched battle,0.0,0.0,,,Victarion Greyjoy,,1.0,Moat Cailin,,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Battle of Deepwood Motte,299,9,Greyjoy,,,,Stark,,,,win,siege,0.0,0.0,1000.0,,Asha Greyjoy,,1.0,Deepwood Motte,,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Battle of the Stony Shore,299,10,Greyjoy,,,,Stark,,,,win,ambush,0.0,0.0,264.0,,Theon Greyjoy,,1.0,Stony Shore,"Greyjoy's troop number based on the Battle of Deepwood Motte, in which Asha had 1000 soldier on 30 longships. That comes out to ~33 per longship. In the Battle of the Stony Shore, Theon has 8 longships, and just we can estimate that he has 8*33 =265 troops.",True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Battle of Torrhen's Square,299,11,Stark,,,,Greyjoy,,,,win,pitched battle,0.0,0.0,244.0,900.0,"Rodrik Cassel, Cley Cerwyn",Dagmer Cleftjaw,1.0,Torrhen's Square,Greyjoy's troop number comes from the 264 estimate to have arrived on the stony shore minus the 20 Theon takes to attack Winterfell. Thus 264-20=244,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Battle of Winterfell,299,12,Greyjoy,,,,Stark,,,,win,ambush,0.0,1.0,20.0,,Theon Greyjoy,Bran Stark,1.0,Winterfell,"It isn't mentioned how many Stark men are left in Winterfell, other than ""very few"".",True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Sack of Torrhen's Square,299,13,Greyjoy,,,,Stark,,,,win,siege,0.0,1.0,,,Dagmer Cleftjaw,,1.0,Torrhen's Square,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
